Date,Time,Heart_Rate
27 Dec,18:50,80
27 Dec,18:40,82
27 Dec,18:30,82
27 Dec,17:50,87
27 Dec,17:10,87
27 Dec,16:50,87
27 Dec,16:40,88
27 Dec,16:16,105
27 Dec,15:54-16:12,90-145
27 Dec,15:50,100
27 Dec,15:40,97
27 Dec,15:37,108
27 Dec,15:24,103
27 Dec,14:57-15:20,102-160
27 Dec,13:51,110
27 Dec,13:50,112
27 Dec,13:30,87
27 Dec,13:00,90
27 Dec,12:57,93
27 Dec,12:45-12:53,115-127
27 Dec,12:35,74
27 Dec,11:50,65
27 Dec,11:40,62
27 Dec,11:30,57
27 Dec,11:20,56
27 Dec,03:10,69
27 Dec,02:50,74
27 Dec,02:40,77
27 Dec,02:30,71
27 Dec,02:10,76
27 Dec,01:40,75
27 Dec,01:30,82
26 Dec,23:40,79
26 Dec,23:38,83
26 Dec,22:20,94
26 Dec,22:10,95
26 Dec,21:00-21:59,95-97
26 Dec,21:40,107
26 Dec,20:40,99
26 Dec,20:30,97
26 Dec,20:26,99
26 Dec,20:21,102
26 Dec,19:00-19:59,100-101
26 Dec,19:50,103
26 Dec,19:50,104
26 Dec,19:20,76
26 Dec,18:35,72
26 Dec,17:44,82
26 Dec,17:20,79
26 Dec,16:30,78
26 Dec,15:49,84
26 Dec,15:29,80
26 Dec,14:00-14:59,88-88
26 Dec,14:50,95
26 Dec,14:12,85
26 Dec,13:20,111
26 Dec,09:20,65
26 Dec,09:10,59
26 Dec,09:00,59
26 Dec,08:50,60
26 Dec,08:40,61
26 Dec,08:30,62
26 Dec,08:20,61
26 Dec,08:10,61
26 Dec,08:00,63
26 Dec,07:50,64
26 Dec,07:40,65
26 Dec,07:30,61
26 Dec,07:20,62
26 Dec,07:10,63
26 Dec,07:00,70
26 Dec,06:50,64
26 Dec,06:40,56
26 Dec,06:30,59
26 Dec,06:20,63
26 Dec,06:10,65
26 Dec,05:50,64
26 Dec,05:40,68
26 Dec,05:30,62
26 Dec,05:20,58
26 Dec,05:10,62
26 Dec,05:00,62
26 Dec,04:50,62
26 Dec,04:40,70
26 Dec,04:30,64
26 Dec,04:20,64
26 Dec,04:10,74
26 Dec,04:00,79
26 Dec,03:50,77
26 Dec,03:30,81
26 Dec,03:20,84
26 Dec,03:00,90
26 Dec,02:00-02:59,83-83
26 Dec,02:32,82
26 Dec,02:20,88
26 Dec,02:10,88
26 Dec,01:00-01:59,84-86
26 Dec,01:50,76
26 Dec,01:40,96
26 Dec,01:00,82
26 Dec,00:00-00:59,80-81
26 Dec,00:50,75
26 Dec,00:30,80
26 Dec,00:20,75
26 Dec,00:10,82
25 Dec,23:00-23:59,74-77
25 Dec,23:50,96
25 Dec,23:30,77
25 Dec,23:20,75
25 Dec,23:10,79
25 Dec,23:00,85
25 Dec,22:50,74
25 Dec,22:40,87
25 Dec,22:30,86
25 Dec,22:24,87
25 Dec,22:01,74
25 Dec,21:00-21:59,90-91
25 Dec,21:50,85
25 Dec,21:40,84
25 Dec,21:30,90
25 Dec,21:00,90
25 Dec,20:20,97
25 Dec,19:50,106
25 Dec,19:30,111
25 Dec,19:00,86
25 Dec,18:24,84
25 Dec,17:00-17:59,76-77
25 Dec,17:10,71
25 Dec,16:50,70
25 Dec,16:30,65
25 Dec,16:20,70
25 Dec,16:10,67
25 Dec,16:00,67
25 Dec,15:50,68
25 Dec,15:40,65
25 Dec,15:30,67
25 Dec,15:20,68
25 Dec,15:11,63
25 Dec,15:00,69
25 Dec,14:00-14:59,105-106
25 Dec,14:40,79
25 Dec,13:36,107
25 Dec,13:20,64
25 Dec,13:00,64
25 Dec,12:50,63
25 Dec,12:30,70
25 Dec,12:09,66
25 Dec,12:00,65
25 Dec,11:50,74
25 Dec,11:40,72
25 Dec,11:30,70
25 Dec,11:00,85
25 Dec,10:00-10:59,67-68
25 Dec,10:54-10:55,80-103
25 Dec,10:50,86
25 Dec,10:40,83
25 Dec,10:31,69
25 Dec,10:30,66
25 Dec,04:20,77
25 Dec,04:10,73
25 Dec,03:40,81
25 Dec,03:10,83
25 Dec,03:00,82
25 Dec,02:50,82
25 Dec,02:40,79
25 Dec,02:30,84
25 Dec,02:22,118
25 Dec,02:10,80
25 Dec,02:00,83
25 Dec,01:00-01:59,76-77
25 Dec,01:41,83
25 Dec,01:31,87
25 Dec,01:26,85
25 Dec,01:20,87
25 Dec,01:10,83
25 Dec,01:00,84
25 Dec,00:50,84
25 Dec,00:31,75
25 Dec,00:20,83
25 Dec,00:10,86
25 Dec,00:00,89
24 Dec,23:50,90
24 Dec,23:47,85
24 Dec,23:20,86
24 Dec,23:10,81
24 Dec,23:00,87
24 Dec,22:00-22:59,91-91
24 Dec,22:50,84
24 Dec,22:30,91
24 Dec,22:19,90
24 Dec,22:13,90
24 Dec,22:10,92
24 Dec,22:00,96
24 Dec,21:40,98
24 Dec,20:00-20:59,117-119
24 Dec,20:50,118
24 Dec,20:30,105
24 Dec,20:14,120
24 Dec,19:23-19:23,121-124
24 Dec,19:01,117
24 Dec,18:50,116
22 Dec,02:40,80
21 Dec,20:42,151
21 Dec,20:41,123
21 Dec,18:10,125
21 Dec,18:09,174
15 Dec,09:34,78
13 Dec,13:26,98
13 Dec,13:22,96
12 Dec,15:27,92
12 Dec,14:33,96
12 Dec,14:32,91
11 Dec,10:17,75
10 Dec,19:51,136
10 Dec,13:44,130
09 Dec,14:01,118
08 Dec,09:18,86
08 Dec,09:18,80
03 Nov,16:20,125
21 Oct,14:00,82
